Antibody_set,Exp_ug_per_mL,Tm_C,Imm_pct_ADA,Binding_nM,Agg_Wv_shift,Poly_min
GSK CA1,34,34,-,29,-,-
GSK CA2,25,22,-,22,-,-
GSK CA3,11,8,-,11,-,-
GSK CA4,24,24,-,19,-,-
Hie C143,-,2,-,16,-,-
Hie mAb114,-,7,-,20,-,-
Hie mAb114 UCA,-,2,-,-,-,-
Hie MEDI8852,-,2,-,15,-,-
Hie MEDI8852 UCA,-,6,-,20,-,-
Hie REGN10987,-,8,-,13,-,-
Hie S309,-,10,-,19,-,-
Koenig G6,4275,-,-,4275,-,-
Marks imm,-,-,217,-,-,-
Rosace Adalimumab,-,14,-,14,-,14
Rosace CD3022,-,6,-,6,-,6
Rosace Golimumab,-,5,-,5,-,5
Shane. Trast. multi,-,-,-,24,-,-
Shane. Trast. zero,-,-,-,422,-,-
Warszawski D44,-,-,-,2049,-,-
Wittrup CST,274,137,-,-,822,411
